Syscall,Kernelfunc
accept$alg,alg_accept
accept$ax25,ax25_accept
accept$inet,inet_accept
accept$inet6,"sock_no_accept,inet_accept"
accept$netrom,nr_accept
accept$nfc_llcp,llcp_sock_accept
accept$packet,sock_no_accept
accept$phonet_pipe,pep_sock_accept
accept$unix,unix_accept
accept4$alg,alg_accept
accept4$ax25,ax25_accept
accept4$inet,inet_accept
accept4$inet6,"sock_no_accept,inet_accept"
accept4$netrom,nr_accept
accept4$nfc_llcp,llcp_sock_accept
accept4$packet,sock_no_accept
accept4$phonet_pipe,pep_sock_accept
accept4$tipc,tipc_accept
accept4$unix,unix_accept
add_key$fscrypt_provisioning,"fscrypt_provisioning_key_destroy,fscrypt_provisioning_key_preparse"
add_key$fscrypt_v1,"user_preparse,user_update,user_destroy"
add_key$keyring,"keyring_preparse,keyring_destroy"
add_key$user,"user_preparse,user_update,user_destroy"
arch_prctl$ARCH_GET_CPUID,get_cpuid_mode
arch_prctl$ARCH_GET_FS,x86_fsbase_read_task
arch_prctl$ARCH_GET_GS,x86_gsbase_read_task
arch_prctl$ARCH_MAP_VDSO_32,prctl_map_vdso
arch_prctl$ARCH_MAP_VDSO_64,prctl_map_vdso
arch_prctl$ARCH_MAP_VDSO_X32,prctl_map_vdso
arch_prctl$ARCH_SET_GS,restore_pid_registers
bind$802154_dgram,ieee802154_sock_bind
bind$802154_raw,ieee802154_sock_bind
bind$ax25,ax25_bind
bind$bt_l2cap,l2cap_sock_bind
bind$bt_rfcomm,rfcomm_sock_bind
bind$bt_sco,sco_sock_bind
bind$can_j1939,j1939_sk_bind
bind$can_raw,raw_bind
bind$isdn,data_sock_bind
bind$isdn_base,base_sock_bind
bind$llc,llc_ui_bind
bind$netrom,nr_bind
bind$nfc_llcp,llcp_sock_bind
bind$packet,packet_bind_spkt
bind$phonet,pn_socket_bind
bind$pptp,pptp_bind
bind$qrtr,qrtr_bind
bind$rose,rose_bind
bind$rxrpc,rxrpc_bind
bind$tipc,tipc_bind
bind$unix,unix_bind
bind$vsock_dgram,vsock_bind
bind$vsock_stream,vsock_bind
bind$x25,x25_bind
bind$xdp,xsk_bind
bpf$BPF_BTF_GET_FD_BY_ID,bpf_btf_get_fd_by_id
bpf$BPF_BTF_GET_NEXT_ID,bpf_obj_get_next_id
bpf$BPF_BTF_LOAD,bpf_btf_load
bpf$BPF_GET_BTF_INFO,bpf_obj_get_info_by_fd
bpf$BPF_GET_MAP_INFO,bpf_obj_get_info_by_fd
bpf$BPF_GET_PROG_INFO,bpf_obj_get_info_by_fd
bpf$BPF_LINK_CREATE,link_create
bpf$BPF_LINK_UPDATE,link_update
bpf$BPF_MAP_FREEZE,map_freeze
bpf$BPF_MAP_GET_FD_BY_ID,bpf_map_get_fd_by_id
bpf$BPF_MAP_GET_NEXT_ID,bpf_obj_get_next_id
bpf$BPF_MAP_LOOKUP_AND_DELETE_BATCH,bpf_map_do_batch
bpf$BPF_MAP_LOOKUP_AND_DELETE_ELEM,map_lookup_and_delete_elem
bpf$BPF_PROG_ATTACH,bpf_prog_attach
bpf$BPF_PROG_DETACH,bpf_prog_detach
bpf$BPF_PROG_GET_FD_BY_ID,bpf_prog_get_fd_by_id
bpf$BPF_PROG_GET_NEXT_ID,bpf_obj_get_next_id
bpf$BPF_PROG_QUERY,bpf_prog_query
bpf$BPF_PROG_TEST_RUN,bpf_prog_test_run
bpf$BPF_RAW_TRACEPOINT_OPEN,bpf_raw_tracepoint_open
bpf$BPF_TASK_FD_QUERY,bpf_task_fd_query
bpf$ENABLE_STATS,bpf_enable_stats
bpf$ITER_CREATE,bpf_iter_create
bpf$LINK_DETACH,link_detach
bpf$MAP_CREATE,map_create
bpf$MAP_DELETE_BATCH,bpf_map_do_batch
bpf$MAP_DELETE_ELEM,map_delete_elem
bpf$MAP_GET_NEXT_KEY,map_get_next_key
bpf$MAP_LOOKUP_BATCH,bpf_map_do_batch
bpf$MAP_LOOKUP_ELEM,map_lookup_elem
bpf$MAP_UPDATE_BATCH,bpf_map_do_batch
bpf$MAP_UPDATE_ELEM,map_update_elem
bpf$OBJ_GET_MAP,bpf_obj_get
bpf$OBJ_GET_PROG,bpf_obj_get
bpf$OBJ_PIN_MAP,bpf_obj_pin
bpf$OBJ_PIN_PROG,bpf_obj_pin
bpf$PROG_BIND_MAP,bpf_prog_bind_map
bpf$PROG_LOAD,bpf_prog_load
close$fd_v4l2_buffer,
close$ibv_device,
connect$ax25,ax25_connect
connect$caif,caif_connect
connect$can_bcm,bcm_connect
connect$can_j1939,j1939_sk_connect
connect$hf,
connect$nfc_llcp,llcp_sock_connect
connect$nfc_raw,rawsock_connect
connect$phonet_pipe,sock_no_connect
connect$pppl2tp,pppol2tp_connect
connect$pppoe,pppoe_connect
connect$pptp,pptp_connect
connect$rxrpc,rxrpc_connect
connect$tipc,tipc_connect
connect$unix,unix_stream_connect
connect$vsock_dgram,vsock_dgram_connect
connect$vsock_stream,vsock_connect
epoll_ctl$EPOLL_CTL_ADD,ep_insert
epoll_ctl$EPOLL_CTL_DEL,ep_remove
epoll_ctl$EPOLL_CTL_MOD,ep_modify
fcntl$F_GET_FILE_RW_HINT,file_write_hint
fcntl$F_GET_RW_HINT,fcntl_rw_hint
fcntl$F_SET_FILE_RW_HINT,fcntl_rw_hint
fcntl$F_SET_RW_HINT,fcntl_rw_hint
fcntl$addseals,memfd_add_seals
fcntl$dupfd,f_dupfd
fcntl$getflags,get_close_on_exec
fcntl$getown,f_getown
fcntl$getownex,f_getown_ex
fcntl$lock,"fcntl_setlk,file_has_perm"
fcntl$notify,fcntl_dirnotify
fcntl$setflags,set_close_on_exec
fcntl$setlease,fcntl_setlease
fcntl$setown,f_setown
fcntl$setownex,f_getown_ex
fcntl$setpipe,pipe_set_size
fcntl$setsig,do_fcntl
fcntl$setstatus,setfl
fsconfig$FSCONFIG_CMD_CREATE,vfs_fsconfig_locked
fsconfig$FSCONFIG_CMD_RECONFIGURE,vfs_fsconfig_locked
fsconfig$FSCONFIG_SET_BINARY,None
fsconfig$FSCONFIG_SET_FD,None
fsconfig$FSCONFIG_SET_FLAG,None
fsconfig$FSCONFIG_SET_PATH,None
fsconfig$FSCONFIG_SET_PATH_EMPTY,None
fsconfig$FSCONFIG_SET_STRING,None
fsetxattr$security_capability,cap_inode_setxattr
fsetxattr$security_evm,evm_inode_setxattr
fsetxattr$security_ima,ima_inode_setxattr
fsetxattr$security_selinux,
fsetxattr$security_smack_transmute,
fsetxattr$smack_xattr_label,
fsetxattr$system_posix_acl,"posix_acl_xattr_set,cifs_xattr_set,v9fs_xattr_set_acl,ovl_posix_acl_xattr_set,no_xattr_set"
fsetxattr$trusted_overlay_nlink,ovl_own_xattr_set
fsetxattr$trusted_overlay_opaque,ovl_own_xattr_set
fsetxattr$trusted_overlay_origin,ovl_own_xattr_set
fsetxattr$trusted_overlay_redirect,ovl_own_xattr_set
fsetxattr$trusted_overlay_upper,ovl_own_xattr_set
getpeername$ax25,ax25_getname
getpeername$inet,inet_getname
getpeername$inet6,inet6_getname
getpeername$l2tp,l2tp_ip_getname
getpeername$l2tp6,l2tp_ip6_getname
getpeername$llc,llc_ui_getname
getpeername$netlink,netlink_getname
getpeername$netrom,nr_getname
getpeername$packet,packet_getname
getpeername$qrtr,qrtr_getname
getpeername$tipc,tipc_getname
getpeername$unix,unix_getname
getsockname$ax25,ax25_getname
getsockname$inet,inet_getname
getsockname$inet6,inet6_getname
getsockname$l2tp,l2tp_ip_getname
getsockname$l2tp6,l2tp_ip6_getname
getsockname$llc,llc_ui_getname
getsockname$netlink,netlink_getname
getsockname$netrom,nr_getname
getsockname$packet,packet_getname
getsockname$qrtr,qrtr_getname
getsockname$tipc,tipc_getname
getsockname$unix,unix_getname
getsockopt$ARPT_SO_GET_ENTRIES,x25_getname
getsockopt$ARPT_SO_GET_INFO,get_info
getsockopt$ARPT_SO_GET_REVISION_TARGET,xt_find_revision
getsockopt$CAN_RAW_FD_FRAMES,raw_getsockopt
getsockopt$CAN_RAW_FILTER,raw_getsockopt
getsockopt$CAN_RAW_JOIN_FILTERS,raw_getsockopt
getsockopt$CAN_RAW_LOOPBACK,raw_getsockopt
getsockopt$CAN_RAW_RECV_OWN_MSGS,raw_getsockopt
getsockopt$EBT_SO_GET_ENTRIES,do_ebt_get_ctl
getsockopt$EBT_SO_GET_INFO,do_ebt_get_ctl
getsockopt$EBT_SO_GET_INIT_ENTRIES,do_ebt_get_ctl
getsockopt$EBT_SO_GET_INIT_INFO,do_ebt_get_ctl
getsockopt$IP6T_SO_GET_ENTRIES,get_entries
getsockopt$IP6T_SO_GET_INFO,get_info
getsockopt$IP6T_SO_GET_REVISION_MATCH,xt_find_revision
getsockopt$IP6T_SO_GET_REVISION_TARGET,xt_find_revision
getsockopt$IPT_SO_GET_ENTRIES,get_entries
getsockopt$IPT_SO_GET_INFO,get_info
getsockopt$IPT_SO_GET_REVISION_MATCH,xt_find_revision
getsockopt$IPT_SO_GET_REVISION_TARGET,xt_find_revision
getsockopt$IP_SET_OP_GET_BYINDEX,ip_set_sockfn_get
getsockopt$IP_SET_OP_GET_BYNAME,ip_set_sockfn_get
getsockopt$IP_SET_OP_GET_FNAME,ip_set_sockfn_get
getsockopt$IP_SET_OP_VERSION,ip_set_sockfn_get
getsockopt$IP_VS_SO_GET_DAEMON,do_ip_vs_get_ctl
getsockopt$IP_VS_SO_GET_DESTS,__ip_vs_get_dest_entries
getsockopt$IP_VS_SO_GET_INFO,do_ip_vs_get_ctl
getsockopt$IP_VS_SO_GET_SERVICE,do_ip_vs_get_ctl
getsockopt$IP_VS_SO_GET_SERVICES,__ip_vs_get_service_entries
getsockopt$IP_VS_SO_GET_TIMEOUT,__ip_vs_get_timeouts
getsockopt$IP_VS_SO_GET_VERSION,do_ip_vs_get_ctl
getsockopt$MISDN_TIME_STAMP,data_sock_getsockopt
getsockopt$MRT,ip_mroute_getsockopt
getsockopt$MRT6,ip6_mroute_getsockopt
getsockopt$PNPIPE_ENCAP,pep_getsockopt
getsockopt$PNPIPE_HANDLE,pep_getsockopt
getsockopt$PNPIPE_IFINDEX,pep_getsockopt
getsockopt$PNPIPE_INITSTATE,pep_getsockopt
getsockopt$SO_BINDTODEVICE,ax25_getsockopt
getsockopt$SO_COOKIE,sock_getsockopt
getsockopt$SO_J1939_ERRQUEUE,j1939_sk_getsockopt
getsockopt$SO_J1939_PROMISC,j1939_sk_getsockopt
getsockopt$SO_J1939_SEND_PRIO,j1939_prio
getsockopt$SO_TIMESTAMP,sock_getsockopt
getsockopt$SO_TIMESTAMPING,sock_getsockopt
getsockopt$TIPC_CONN_TIMEOUT,tipc_getsockopt
getsockopt$TIPC_DEST_DROPPABLE,tsk_unreturnable
getsockopt$TIPC_GROUP_JOIN,tipc_group_self
getsockopt$TIPC_IMPORTANCE,tsk_importance
getsockopt$TIPC_NODE_RECVQ_DEPTH,tipc_getsockopt
getsockopt$TIPC_SOCK_RECVQ_DEPTH,tipc_getsockopt
getsockopt$TIPC_SRC_DROPPABLE,tsk_unreliable
getsockopt$WPAN_SECURITY,dgram_getsockopt
getsockopt$WPAN_SECURITY_LEVEL,dgram_getsockopt
getsockopt$WPAN_WANTACK,dgram_getsockopt
getsockopt$WPAN_WANTLQI,dgram_getsockopt
getsockopt$XDP_MMAP_OFFSETS,xsk_getsockopt
getsockopt$XDP_STATISTICS,xsk_getsockopt
getsockopt$ax25_int,ax25_getsockopt
getsockopt$bt_BT_CHANNEL_POLICY,l2cap_sock_getsockopt
getsockopt$bt_BT_DEFER_SETUP,l2cap_sock_getsockopt
getsockopt$bt_BT_FLUSHABLE,l2cap_sock_getsockopt
getsockopt$bt_BT_POWER,l2cap_sock_getsockopt
getsockopt$bt_BT_RCVMTU,l2cap_sock_getsockopt
getsockopt$bt_BT_SECURITY,l2cap_sock_getsockopt
getsockopt$bt_BT_SNDMTU,l2cap_sock_getsockopt
getsockopt$bt_BT_VOICE,sco_sock_getsockopt
getsockopt$bt_l2cap_L2CAP_CONNINFO,l2cap_sock_getsockopt_old
getsockopt$bt_l2cap_L2CAP_LM,l2cap_sock_getsockopt_old
getsockopt$bt_l2cap_L2CAP_OPTIONS,l2cap_sock_getsockopt_old
getsockopt$bt_rfcomm_RFCOMM_CONNINFO,rfcomm_sock_getsockopt_old
getsockopt$bt_rfcomm_RFCOMM_LM,rfcomm_sock_getsockopt_old
getsockopt$bt_sco_SCO_CONNINFO,sco_sock_getsockopt_old
getsockopt$bt_sco_SCO_OPTIONS,sco_sock_getsockopt_old
getsockopt$inet6_IPV6_FLOWLABEL_MGR,ipv6_flowlabel_opt_get
getsockopt$inet6_IPV6_IPSEC_POLICY,None
getsockopt$inet6_IPV6_XFRM_POLICY,None
getsockopt$inet6_buf,do_ipv6_getsockopt
getsockopt$inet6_dccp_buf,do_dccp_getsockopt
getsockopt$inet6_dccp_int,do_dccp_getsockopt
getsockopt$inet6_mreq,None
getsockopt$inet6_mtu,do_ipv6_getsockopt
getsockopt$inet6_tcp_TCP_REPAIR_WINDOW,do_tcp_getsockopt
getsockopt$inet6_tcp_TCP_ZEROCOPY_RECEIVE,tcp_zerocopy_receive
getsockopt$inet6_tcp_buf,do_tcp_getsockopt
getsockopt$inet6_tcp_int,do_tcp_getsockopt
getsockopt$inet6_udp_int,udp_lib_getsockopt
getsockopt$inet_IP_IPSEC_POLICY,None
getsockopt$inet_IP_XFRM_POLICY,None
getsockopt$inet_buf,do_ip_getsockopt
getsockopt$inet_dccp_buf,do_dccp_getsockopt
getsockopt$inet_dccp_int,do_dccp_getsockopt
getsockopt$inet_int,do_ip_getsockopt
getsockopt$inet_mreq,None
getsockopt$inet_mreqn,None
getsockopt$inet_mreqsrc,None
getsockopt$inet_mtu,do_ip_getsockopt
getsockopt$inet_opts,do_ip_getsockopt
getsockopt$inet_pktinfo,do_ip_getsockopt
getsockopt$inet_sctp6_SCTP_ADAPTATION_LAYER,sctp_getsockopt_adaptation_layer
getsockopt$inet_sctp6_SCTP_ASSOCINFO,sctp_getsockopt_associnfo
getsockopt$inet_sctp6_SCTP_AUTH_ACTIVE_KEY,sctp_getsockopt_active_key
getsockopt$inet_sctp6_SCTP_AUTOCLOSE,sctp_getsockopt_autoclose
getsockopt$inet_sctp6_SCTP_AUTO_ASCONF,sctp_getsockopt_auto_asconf
getsockopt$inet_sctp6_SCTP_CONTEXT,sctp_getsockopt_context
getsockopt$inet_sctp6_SCTP_DEFAULT_PRINFO,sctp_getsockopt_default_prinfo
getsockopt$inet_sctp6_SCTP_DEFAULT_SEND_PARAM,sctp_getsockopt_default_send_param
getsockopt$inet_sctp6_SCTP_DEFAULT_SNDINFO,sctp_getsockopt_default_sndinfo
getsockopt$inet_sctp6_SCTP_DELAYED_SACK,sctp_getsockopt_delayed_ack
getsockopt$inet_sctp6_SCTP_DISABLE_FRAGMENTS,sctp_getsockopt_disable_fragments
getsockopt$inet_sctp6_SCTP_ENABLE_STREAM_RESET,sctp_getsockopt_enable_strreset
getsockopt$inet_sctp6_SCTP_EVENTS,sctp_getsockopt_events
getsockopt$inet_sctp6_SCTP_FRAGMENT_INTERLEAVE,sctp_getsockopt_fragment_interleave
getsockopt$inet_sctp6_SCTP_GET_ASSOC_ID_LIST,sctp_getsockopt_assoc_ids
getsockopt$inet_sctp6_SCTP_GET_ASSOC_NUMBER,sctp_getsockopt_assoc_number
getsockopt$inet_sctp6_SCTP_GET_ASSOC_STATS,sctp_getsockopt_assoc_stats
getsockopt$inet_sctp6_SCTP_GET_LOCAL_ADDRS,sctp_getsockopt_local_addrs
getsockopt$inet_sctp6_SCTP_GET_PEER_ADDRS,sctp_getsockopt_peer_addrs
getsockopt$inet_sctp6_SCTP_GET_PEER_ADDR_INFO,sctp_getsockopt_peer_addr_info
getsockopt$inet_sctp6_SCTP_HMAC_IDENT,sctp_getsockopt_hmac_ident
getsockopt$inet_sctp6_SCTP_INITMSG,sctp_getsockopt_initmsg
